class,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,labels,superclasses
ENVO_01000067,,,"A water current which is maintained by a continuous, directed movement of marine water, generated by forces caused by breaking waves, wind, Coriolis force, temperature and salinity differences, and tides caused by the gravitational pull of astronomical bodies. Depth contours, shoreline configurations and interaction with other currents influence a current's direction and strength.",,,,,,,envoPolar,marine current,ENVO_01001607
ENVO_01000068,,,Marine streamers are tongues of cold water that extend > 100 km offshore from upwelling regions. Enhanced primary productivity may occur in these waters as they are typically more nutrient rich than marine surface waters.,,,,,,,,marine streamer,ENVO_01000067
ENVO_01000069,,,"Mesoscale marine eddies are characterized by currents which flow in a roughly circular motion around the center of the eddy. The sense of rotation of these currents may either be cyclonic or anticyclonic. Ocean eddies are also usually made of water masses that are different to those outside of the eddy. Marine mesoscale eddies are between about 10 and 500 km in diameter, and persist for periods of days to months. They may be formed when an ocean current develops an instability. This instability grows, causing the current to meander, and eventually an eddy is pinched off from the meander.",,,,,,,,mesoscale marine eddy,ENVO_01000067
ENVO_01000071,,,"An oceanic front is a narrow zone of enhanced horizontal gradients of water properties (temperature, salinity, nutrients, etc.) that separates broader areas with different water masses or different vertical structure (stratification).",,,,,,,,oceanic front,ENVO_01000258
ENVO_01000072,,,"A marine Taylor column is a Taylor column that is formed in a marine body of water. Currents flowing over shoaling topography such as seamounts are accelerated and destabilised, resulting in Taylor columns. Eddies and internal waves are generated downstream of the topological feature and may extend 1000 m or so above them. This may result in a localised increase in primary production where the Taylor column reaches surface waters.",,,,,,,,marine Taylor column,ENVO_01000299
ENVO_01000073,,"On Earth, the nutrients which are of low concentration in these water masses are typically phosphate, nitrate. and organic matter. The result is low primary productivity in such regions. These regions tend to have high dissolved oxygen levels due to a lack of respiration.",A marine water mass which is composed primarily of water with low concentrations of nutrients.,,,,,,,,marine oligotrophic desert,ENVO_01000686
ENVO_01000074,,,"A gyre in oceanography is any large system of rotating ocean currents, particularly those involved with large wind movements. Gyres are caused by the Coriolis Effect; planetary vorticity  along with horizontal and vertical friction, which determine the circulation patterns from the wind curl (torque).",,,,,,,,oceanic gyre,ENVO_01000067
ENVO_01000075,,Marine thermoclines are usually associated with rapid changes in water density and salinity.,A thermocline which is part of a marine water body.,,,,,,,envoPolar,marine thermocline,"ENVO_00002269, ENVO_01001676"
ENVO_01000076,,,"A marine chemocline is a marine cline caused by a strong, vertical chemistry gradient within a body of marine water. Chemoclines most commonly occur where local conditions favor the formations of anoxic bottom water.",,,,,,,envoPolar,marine chemocline,"ENVO_00002270, ENVO_01001676"
ENVO_01000077,,Marine pycnoclines are usually associated with rapid changes in water temperature and salinity.,A pycnocline which is part of a marine water body and composed primarily of sea water.,,,,,,,envoPolar,marine pycnocline,"ENVO_01001308, ENVO_01000325, ENVO_01001676, ENVO_01000259"
ENVO_01000078,,,A nutricline which is part of a marine water body.,,,,,,,envoPolar,marine nutricline,"ENVO_01001676, ENVO_01000260"
ENVO_01000079,,,"The marine lysocline denotes the depth in the ocean below which the rate of dissolution of calcite increases dramatically. As water column depth and therefore pressure increases, the corresponding calcite saturation of seawater decreases and the calcite begins dissolve.",,,,,,,envoPolar,marine lysocline,ENVO_01001674
ENVO_01000080,,,"A roughly planar, pelagic region characterised by equal water temperature.",,,,,,,envoPolar,pelagic isothermal surface,"ENVO_01001308, ENVO_01000325, ENVO_01001696"
ENVO_01000081,,,"A roughly planar, pelagic region characterised by equal salinity.",,,,,,,envoPolar,pelagic isohaline surface,"ENVO_01001308, ENVO_01000325, ENVO_01001694"
ENVO_01000083,,,"A roughly planar, pelagic region characterised by equal water density.",,,,,,,envoPolar,pelagic isopycnal surface,"ENVO_01001308, ENVO_01000325, ENVO_01001695"
ENVO_01000084,,,,,,,,,,,estuarine front,ENVO_01000071
ENVO_01000085,,,,,,,,,,,plume front,ENVO_01000071
ENVO_01000086,,,,,,,,,,,coastal buoyancy current front,ENVO_01000071
ENVO_01000087,,,,,,,,,,,tidal mixing front,ENVO_01000071
ENVO_01000088,,,,,,,,,,,mid-shelf fronts,ENVO_01000071
ENVO_01000089,,,,,,,,,,,shelf-slope/shelf-break front,ENVO_01000071
ENVO_01000090,,,,,,,,,,,coastal upwelling front,ENVO_01000071
ENVO_01000091,,,,,,,,,,,topographic upwelling front,ENVO_01000071
ENVO_01000092,,,,,,,,,,,equatorial upwelling front,ENVO_01000071
ENVO_01000093,,,,,,,,,,,boundary current front,ENVO_01000071
ENVO_01000094,,,A convergence front which is located in a region subject to subtropical climate patterns.,,,,,,,,subtropical convergence front,ENVO_01000071
ENVO_01000095,,,,,,,,,,,marginal ice zone front,ENVO_01000071
ENVO_01000096,,,,,,,,,,,water mass front,ENVO_01000071
ENVO_01000097,,,,,,,,,,,surface convergence,ENVO_01000071
ENVO_01000098,,,A marine current that generally occurs below the permanent thermocline (where it occurs) or below 400 m depth and that is driven by density and temperature gradients.,,,,,,,,deep ocean current,ENVO_01000067
ENVO_01000099,,,"A marine current bordered by the surface of the water column and the permanent thermocline, where it occurs. Surface currents are mostly wind driven and mostly limited to the top 400 m of the water column. Ocean currents are driven by the circulation of wind above surface waters. Frictional stress at the interface between the ocean and the wind causes the water to move in the direction of the wind. Large ocean currents are a response of the atmosphere and ocean to the flow of energy from the tropics to polar regions. In some cases, currents are transient features and affect only a small area. Other ocean currents are essentially permanent and extend over large horizontal distances.",,,,,,,,marine surface current,ENVO_01000067
ENVO_01000100,,,A marine surface current that flows along an oceanic front.,,,,,,,,along-front current,ENVO_01000099
ENVO_01000101,,,,,,,,,,,warm surface current,ENVO_01000099
ENVO_01000102,,,,,,,,,,,cold surface current,ENVO_01000099
ENVO_01000103,,,"A warm water, narrow marine surface current flowing from the equator to high latitudes at speeds between 40 and 120 kilometers per day. Western boundary currents are the deepest ocean surface flows, usually extending 1000 meters below the ocean surface.",,,,,,,,western boundary current,ENVO_01000101
ENVO_01000104,,,"A cold water, broad marine surface current flowing from high latitudes to the equator at speeds between 3 and 7 kilometers per day.",,,,,,,,eastern boundary current,ENVO_01000102
ENVO_01000106,,"The permanent marine thermocline is typically found in temperate to tropical latitudes,",A marine thermocline which separates the marine cold-water sphere from the marine warm-water sphere and which does not dissipate seasonally.,,,,,,,envoPolar,permanent marine thermocline,ENVO_01000075
ENVO_01000107,,,A marine thermocline which is present below the marine wind mixed layer.,,,,,,,envoPolar,seasonal marine thermocline,ENVO_01000075
ENVO_01000108,,,"The marine cold-water sphere describes a water mass extending from the polar seas and across low latitudes at depths of ca. 800 to 1000 m, which is separated from the marine warm-water sphere by the permanent marine thermocline",,,,,,,envoPolar,marine cold-water sphere,ENVO_01000686
ENVO_01000109,,,The marine warm-water sphere describes a water mass extending to depths of ca. 800 to 1000 m in low and middle latitudes. It is separated from the marine cold-water sphere by the permanent marine thermocline,,,,,,,,marine warm-water sphere,ENVO_01000686
ENVO_01000122,,,"A marine hydrothermal vent is a marine benthic feature where heat generated due to tectonic activity, either at divergent plate boundaries or convergent ocean plates where back-arc spreading occurs, is released or 'vented' to the surface. The resultant high temperature water jets are laden with dissolved metals and minerals.",,,,,,,,marine hydrothermal vent,ENVO_00000215
ENVO_01000124,,,"The supralittoral zone is the area above the spring high tide line that is regularly splashed, but not submerged by ocean water. Seawater penetrates these elevated areas only during storms with high tides.",,supralittoral zone,marine supralittoral zone,,"splash zone, spray zone, supratidal zone",,,marine supra-littoral zone,ENVO_01001201
ENVO_01000125,,,"The marine littoral zone is a littoral zone which extends, approximately, from the spray region above the high tide mark to the edge of the coninental shelf.",,,,,,,,marine littoral zone,ENVO_01000407
ENVO_01000126,,,"The marine sublittoral zone is part of the marine littoral zone which is permanently covered by seawater. In physical oceanography, the sublittoral zone refers to coastal regions with significant tidal flows and energy dissipation, including non-linear flows, internal waves, river outflows and oceanic fronts. In practice, this typically extends to the edge of the continental shelf, with depths around 200 meters. In marine biology, the sublittoral refers to the areas where sunlight reaches the ocean floor, that is, where the water is never so deep as to take it out of the photic zone.",,sublittoral zone,marine sublittoral zone,,,,,marine sub-littoral zone,ENVO_01001201
ENVO_01000129,,,A column of solid material which has been progressively deposited around a hydrothermal vent.,,,,,,,,marine hydrothermal vent chimney,ENVO_01001885
ENVO_01000130,,,"A marine hydrothermal vent plume, part of a marine hydrothermal vent, is a high temperature water jet laden with dissolved metals and minerals that is driven by heat generated due to tectonic activity below the vent.",,,,,,,,marine hydrothermal plume,ENVO_01001308
ENVO_01000136,,Drop stones range in size from small pebbles to boulders.,A piece of rock which fell vertically through the water column into finer-grained water-deposited sedimentary rocks.,,,dropstone,,,,,drop stone,"ENVO_00000191, ENVO_00000339"
ENVO_01000143,,,A reef which is located in a marine water body.,,,,,,,,marine reef,ENVO_01001899
ENVO_01000144,,,,,,,,,,,marine coral reef flat zone,ENVO_01000143
ENVO_01000145,,,,,,,,,,,marine coral reef back reef,ENVO_01000143
ENVO_01000146,,,,,,,,,,,marine coral reef crest,ENVO_01000143
ENVO_01000147,,,,,,,,,,,marine coral reef fore reef,ENVO_01000143
ENVO_01000148,,,,,,,,,,,marine coral reef buttress zone,ENVO_01000143
ENVO_01000149,,,,,,,,,,,marine coral reef deep fore reef,ENVO_01000143
ENVO_01000150,,,A rocky reef which is located in the subtidal zone of a marine water body.,,,,,,,,marine subtidal rocky reef,"ENVO_00000130, ENVO_01000143"
ENVO_01000160,,,"Pockmarks are craters in the seabed resulting from the release of gas or liquid. Generally, they are formed in soft, fine-grained seabed sediments by the escape of fluids (gas or water, but mainly methane) into the water column.",,,,,,,envoPolar,marine pockmark,ENVO_00000514
ENVO_01000161,,,"A marine sponge reef is marine reefs primarily built by marine sponges. The primary frame-building sponges are all members of the order Hexactinosa. They are found only in glacier-scoured troughs of low-angle continental shelf. The seafloor is stable and consists of rock, coarse gravel, and large boulders.",,,,,,,,marine sponge reef,ENVO_01000143
ENVO_01000237,,,A coastal scrubland is a scrubland which is part of a coast.,,,,coastal chaparral,,,,coastal scrubland,ENVO_00000300
ENVO_01000239,,,An oak woodland is a woodland which has a tree community primarily composed of oak trees.,,,,,,,,oak woodland,ENVO_01001245
ENVO_01000240,,,"A conifer woodland is a woodland which has a tree community primarily composed of coniferous trees, from the Division Pinophyta, also known as Coniferophyta or Coniferae.",,,,,,,,conifer woodland,ENVO_01001245
ENVO_01000241,,,A juniper woodland is a woodland which has a tree community primarily composed of trees of the genus Juniperus.,,,,,,,,juniper woodland,ENVO_01000240
ENVO_01000242,,,A scrubland which is located in a desert.,,,desert scrub,,,,,desert scrubland,ENVO_00000300
ENVO_01000244,,,A pinyon juniper woodland is a conifer woodland which has a tree community primarily composed of trees of the subsection Cembroides of the genus Pinus and the genus Juniperus.,,,,,,,,pinyon juniper woodland,ENVO_01000240
ENVO_01000254,,"In ENVO's alignment with the Basic Formal Ontology, this class is being considered as a subclass of a proposed BFO class ""system"". The relation ""environed_by"" is also under development. Roughly, a system which includes a material entity (at least partially) within its site and causally influences that entity may be considered to environ it. Following the completion of this alignment, this class' definition and the definitions of its subclasses will be revised.",A system which has the disposition to environ one or more material entities.,,,environment,,,,,environmental system,RO_0002577
ENVO_01000255,,"Note that the definition of the term mineral is debatable; however, a mineral generally must be naturally occuring, stable at room temperature, representable by a chemical formula (unlike rocks, which may include a wide variety of components), are usually formed by geophysical processes (i.e. are abiogenic), and have an ordered atomic arrangement.",A mineral deposit is a physiographic feature which has unusually high concentrations of one or more minerals.,,,mineral ore deposit,ore deposit,,,,mineral deposit,ENVO_01001884
ENVO_01000257,,,"A hydrothermal vent found on the ocean floor which emits lighter-hued minerals, such as those containing barium, calcium and silicon. These alkaline hydrothermal vents also continuously generate acetyl thioesters, providing both the starting point for more complex organic molecules and the energy needed to produce them.",,,,,,,,white smoker,ENVO_01000122
ENVO_01000258,,"A similar term exists in linguistics and mathematics. An ecocline, or biological cline, is a related concept; however, may be better placed as a child of a class like ""ecotone"". Further, some definitions of ""layer"" require a layer's constiuent materials to have consistent properties, thus ""cline"" would not qualify as a subclass. The term ""gradient"" has been proposed as a more suitable superclass. Discussion in Issue #286)","A fluid front which is 1) thin in comparison to the fluid mass it is a part of and 2) across which a property of that fluid mass varies greatly over short vertical distance, relative to variation across the entire fluid mass.",,cline,,,,,envoPolar,fluid cline,ENVO_01001679
ENVO_01000259,,,A cline across which the density of a fluid changes rapidly.,,,,,stable density gradient,,,pycnocline,ENVO_01000258
ENVO_01000260,,,A nutricline which is part of a water body.,,,,,nutrient gradient,,,nutricline within a water body,"ENVO_01000813, ENVO_01001675"
ENVO_01000262,,,A seep is a spring in which water has filtered through permeable earth to the surface.,,,,,,,,seep,ENVO_00000027
ENVO_01000263,,,"MERGED DEFINITION:
TARGET DEFINITION: A cold seep is a seep in which methane and other hydrocarbon-rich fluids rise to the sea floor.
--------------------
SOURCE DEFINITION: An area of the ocean floor where hydrogen sulfide, methane and other hydrocarbon-rich fluid seepage occurs. Cold seeps are distinct from hydrothermal vents: the former's emissions are of the same temperature as the surrounding seawater, whereas the latter's emissions are super-heated.",,,"hydrocarbon seep, methane seep",,,,,cold seep,ENVO_01000262
ENVO_01000265,,,A hydrothermal seep is a seep in which diffuse flow of geothermally heated fluids with high methane concentrations. This seep has been proposed as an intermediate between cold seeps and hydrothermal vents.,,,,,hot seep,,,hydrothermal seep,ENVO_01000262
ENVO_01000267,,,An atmosphere is a layer of gases surrounding a material body of sufficient mass that is held in place by the gravity of the body.,,,,,,,,atmosphere,ENVO_01001678
ENVO_01000275,,,A structural basin is a geological depression formed by tectonic warping of previously flat lying rock strata.,,,,,,,,structural basin,ENVO_00000309
ENVO_01000276,,"Unlike biomes, ecoregions are geographically defined entities. ENVO's sister project, GAZ, contains terms for instances of ecoregions (e.g. Beringia lowland tundra). Requests for new terms should be directed to GAZ. ENVO will only contain this top-level class. The class' definition is preliminary and will be aligned to BFO.","A large unit of land or water containing a geographically distinct assemblage of species, natural communities, and environmental conditions.",,,,,,,envoPolar,ecoregion,"ENVO_01000813, ENVO_01001110"
ENVO_01000278,,,A depression caused by the collapse of a pingo.,,,,,,,,pingo scar,"ENVO_01001884, ENVO_00000309"
ENVO_01000279,,,"An ice mass which is formed when moisture, diffused within soil or rock, accumulates and freezes in a localized zone, wedging soil or rock apart.",,,ice lenses,,,,envoPolar,ice lens,ENVO_01001547
ENVO_01000280,,"ENVO contains this top-level class, but all instances will be in GAZ. The definition is preliminary and will be aligned to BFO.
https://en.wikipedia.org/wiki/  Ecozones correspond to the floristic kingdoms of botany or zoogeographic regions of zoology. Ecozones are characterized by the evolutionary history of the organisms they contain. They are distinct from biomes, also known as major habitat types, which are divisions of the Earth's surface based on life form, or the adaptation of plants and animals to climatic, soil, and other conditions. Biomes are characterized by similar climax vegetation. Each ecozone may include a number of different biomes. A tropical moist broadleaf forest in Central America, for example, may be similar to one in New Guinea in its vegetation type and structure, climate, soils, etc., but these forests are inhabited by plants and animals with very different evolutionary histories.","Ecozones delineate large areas of a planetary surface within which organisms have been evolving in relative isolation over long periods of time, separated from one another by geographic features, such as oceans, broad deserts, or high mountain ranges, that constitute barriers to migration.",,,,,,,envoPolar,ecozone,"ENVO_01000813, ENVO_01001110"
ENVO_01000282,,,A solid layer which is composed primarily of sedimentary rock or soil.,,stratum,,,,,,sedimentary stratum,ENVO_01001275
ENVO_01000283,,Note that this class does not contain metalimnion as a subclass. The metaliminon is classified as a thermocline.,A layer which is part of a lake.,,,,,,,envoPolar,lake layer,"ENVO_01001308, ENVO_01000325"
ENVO_01000284,,,"A lake which is permanently covered by ice, does not mix, and exhibit inverse cold water stratification whereby water temperature increases with depth below the ice surface.",,,,,,,,amictic lake,ENVO_00000020
ENVO_01000285,,,A holomictic lake is a lake which mixes at least once per year. Mixing is caused by a uniform temperature distribution from the upper to lower layers of the lake.,,,,,non-meromictic lake,,,holomictic lake,ENVO_00000020
ENVO_01000286,,,"A dimitic lake is a holomictic lake which mixes from top to bottom during two mixing periods each year. Mixing typically occurs during the spring and autumn, when the lake is ""isothermal"" (i.e., at the same temperature from the top to the bottom). At this time the water throughout the lake is about 4°C, and, in the absence of any temperature or density differences, the lake readily mixes from top to bottom. These lakes are common in regions with temperate climates.",,,,,,,,dimictic lake,ENVO_01000285
ENVO_01000287,,,A polymictic lake is a holomictic lake which is too shallow to allow thermal stratification and which can mix from top to bottom through the ice-free period of the year.,,,,,,,,polymictic lake,ENVO_01000285
ENVO_01000288,,,A monomictic  lake is a holomictic lake which mixes from top to bottom during one mixing period each year.,,,,,,,,monomictic lake,ENVO_01000285
ENVO_01000289,,,A monomictic lake which is covered by ice throughout much of the year and only mixes when its surface ice melts and the lake lacks thermal stratification.,,,,,,,,cold monomictic lake,ENVO_01000288
ENVO_01000290,,,"A monomictic lake which does not freeze and is thermally stratified throughout most of the year, only mixing in winter when cooler temperatures ease stratification.",,,,,,,,warm monomictic lake,ENVO_01000288
ENVO_01000291,,,A cold polymictic lake is a polymictic lake which is covered by ice in winter.,,,,,,,,cold polymictic lake,ENVO_01000287
ENVO_01000292,,,A warm polymictic lake is a polymictic lake which is not covered by ice at any point during the year.,,,,,,,,warm polymictic lake,ENVO_01000287
ENVO_01000293,,,A mass of water ice.,Class should be populated by inference and asserted subclasses redistributed.,"accumulation of ice, ice accumulation",,,,,envoPolar,ice mass,"ENVO_03000110, ENVO_01001687"
ENVO_01000294,,,A deep fissure in rock.,,,,,crevice,,,crevice,ENVO_01000667
ENVO_01000295,,,A layer that is part of a marine water body.,,,,,,,"envoMarine, envoPolar",marine layer,"ENVO_01001308, ENVO_01000325"
ENVO_01000296,,"Deliberately disjoint with ""lake bed"", which must be covered with water.","A lake bed which is dry. That is, the bed of a dry lake.",,,,,,,,dry lake bed,"ENVO_01001311, ENVO_01001483, ENVO_00000191"
ENVO_01000297,,Preliminary definition.,A river where fresh water flows.,,,,,,,,freshwater river,"ENVO_00000022, ENVO_03605007"
ENVO_01000298,,"On Earth, continental margins constitute about 28% of the oceanic area.","A slope which is part of the seafloor, descends from the continental crust to the oceanic crust, and comprises the continental shelf, continental slope, and continental rise.",,,,,,,envoPolar,continental margin,ENVO_00002000
ENVO_01000299,,"This is an interesting class. It's not really a column in the sense of a water column, nor is it a current, exactly. It may also occur in any fluid, gaseous or liquid.","A Taylor column is a column of deflected fluid flow which is formed in a perturbed, rotating fluid, is parallel to the axis of rotation, and extends above the obstacle perturbing the fluid in a rigid manner.",,,,,,,,Taylor column,ENVO_01001479
ENVO_01000300,,,An atmospheric Taylor column is a Taylor column that is formed in the atmosphere. Atmospheric Taylor columns often form above islands resulting in vortex streets in the atmosphere.,,,,,vortex street,,,atmospheric Taylor column,ENVO_01000299
ENVO_01000302,,"This is kept as a general class. One can specify subclasses by identifying the protruding material (e.g. rock outcroup, mineral outcrop, etc ) and the material(s) the protrusion emerges from. Possible logical definition:   A portion of ENVO:environmental material which has_quality PATO:""protruding out of"" a ENVO:surface layer of an ENVO:environmental material.",A portion of environmental material which protrudes through a surface layer.,,,,,,,,outcrop,ENVO_01001884
ENVO_01000303,,,An endolithic environment is an environment that exists within solid rock.,,,,,,,,endolithic environment,ENVO_01000254
ENVO_01000304,,,A high pressure environment is an environment in which all material entities are exposed to a high ratio of force per unit area.,,,,,,,,high pressure environment,ENVO_01000997
ENVO_01000305,,,A high temperature environment is an environment in which material entities are exposed to increased levels of heat radiation or which have molecules or atoms moving randomly with increased levels of average kinietic energy.,,,,,,,,high temperature environment,ENVO_01000997
ENVO_01000306,Water (non-saline),,An aquatic environment which is determined by freshwater.,,,fresh water environment,,,,"envoEmpo, envoOmics, envoPolar",freshwater environment,ENVO_01000317
ENVO_01000307,Water (saline),,An environmental system which has its properties and dynamics determined by saline water.,,,,,,,"envoEmpo, envoOmics, envoPolar",saline water environment,"ENVO_01000317, ENVO_01001040"
ENVO_01000308,,,An environmental system which is located beyond the Earth's exosphere and away from the Earth's core.,"This would need an instance of planet (i.e. Earth) to be fully expressed. Note that this is not necessarily outer space, as it can include planetary environments that are not of Earth.",,,,,,,extraterrestrial environment,ENVO_01000254
ENVO_01000309,,"The definition of the deprecated 'cold temperature habitat' class, which this class was derived from, quotes an upper threshold of 15 degrees Celsius for 'coldness'.",An environment which has a lower temperature than some local or global average.,,,,,,,envoPolar,cold environment,ENVO_01000254
ENVO_01000310,,,"A haline environment is an environment in which entities are exposed to high concentrations of salt, typically above 2 molar.",,,,,,,,haline environment,ENVO_01000314
ENVO_01000311,,,"A cultivated environment is an environment that has been modified by humans by the preparation of the land, usually for the purposes of growing crops.",,,,cropland,"CROPLAND, agricultural region, cultivated area, cultivated cropland, market garden, range, truck farm, truck garden",,,cultivated environment,ENVO_01000313
ENVO_01000312,,,"A culturing environment is an environment which is maintained by humans for the purposes of preparing cell, organ, tissue and plant tissue cultures.",,,,,,,,culturing environment,ENVO_01000313
ENVO_01000313,,Unsatisfactory definition here. Must consider the threshold that makes an environmental system anthropogenic.,An anthropogenic environment is an environmental system which is the product of human activity.,,,,,,,,anthropogenic environment,ENVO_01000254
ENVO_01000314,,,A high osmolarity environment is an environment in which entities are exposed to high concentrations of solutes.,,,,,,,,high osmolarity environment,ENVO_01000997
ENVO_01000315,,,An acidic environment is an environment in which material entities are exposed to a low pH.,,,,,,,,acidic environment,ENVO_01000997
ENVO_01000316,,,"An alkaline environment is an environment in which entities are exposed to high pH, typically greater than a pH of 9.",,,,,,,,alkaline environment,ENVO_01000997
ENVO_01000317,,,An environment whose dynamics are strongly influenced by water.,,,,,,,,aquatic environment,"ENVO_01000997, ENVO_01000998"
ENVO_01000318,,"The lower threshold, 80 degrees Celsius, is derived from the definition of the obsolete class ""extreme high temperature habitat"" which this class replaces.",An extreme high temperature environment is a high temperature environment in which entities are exposed to temperatures above 80 degrees Celsius.,,,,,,,,extreme high temperature environment,ENVO_01000305
ENVO_01000319,,,A rocky slope is a slope which has a surface primarily composed of rock.,,,,,,,,rocky slope,ENVO_00002000
ENVO_01000320,,,A marine environment and enviroment which is determined by a marine water body.,,,,,,,envoPolar,marine environment,"ENVO_01000254, ENVO_01000813"
ENVO_01000321,,,An environmental system determined by seawater.,,,ocean water environment,,,,envoPolar,sea water environment,ENVO_01000307
ENVO_01000322,,"This may refer to environments submerged in brackish water or those that are determined by its presence, such as a brackish water pond environment.",An environment determined by the presence of brackish water.,,,,,,,envoPolar,brackish water environment,ENVO_01000307
ENVO_01000323,,,"The atmospheric boundary layer is the lowest layer of an atmosphere which is strongly influenced by its contact with a planetary surface with strong vertical mixing and in which physical quantities such as flow velocity, temperature, and moisture display rapid fluctuations (turbulence).",,,planetary boundary layer,,,,envoPolar,atmospheric boundary layer,ENVO_01000544
ENVO_01000324,,a useful class: this can be used to define sub-terrestrial and sub-marine entities,A planetary surface is a surface layer where the solid or liquid material of a planet comes into contact with an atmosphere or outer space.,,,,,,,,planetary surface,ENVO_01001483
ENVO_01000325,,"This class will eventually be populated by inference, and its asserted subclasses removed.","A layer in a water mass, itself composed primarily of water.",,,,,,,envoPolar,aquatic layer,ENVO_01001273
ENVO_01000326,,"The DCM may or may not indicate greater abundance of photosynthetic, chlorophyll-bearing cells, as shade-adapted cells may have a greater chlorophyll to biomass ration than surface variants. Further, some DCMs may be formed by the sinking of cells from surface zones or the subduction of surface waters, rather than through biotic, community-level processess.","A subsurface layer in a water body, typically an ocean or lake, in which chlorophyll concentrations reach their maximum.","Logical def is incomplete. Need to express the idea of maximum chlorophyll. This could follow a pattern like:

X has_maximum_levels_of Y relative_to Z, i.e. DCM has_maximum_levels_of chlorophyll relative_to  subsurface_aquatic_layer

May also be useful to include has_decreased_levels_of light intensity relative_to surface aquatic layer

Further discussion in Issue #126.",,DCM,,subsurface chlorophyll maximum layer,,envoPolar,deep chlorophyll maximum layer,ENVO_01000325
ENVO_01000327,,,A strand swamp is a swamp that forms linear drainage channels on flatlands.,,,,,,,,strand swamp,ENVO_00000233
ENVO_01000328,,The logical def should be improved with the idea of a vegetation unit growing in a depression expressed.,A dome swamp is a swamp which occurs in a depression where deeper waters at the centre of the swamp allow  trees to grow taller relative to those in shallower regions of the depression. This creates a dome-like shape.,,,,,,,,dome swamp,ENVO_00000233
ENVO_01000329,,Requires import of some taxonomy for differentia,"A cypress dome swamp is a dome swamp which has a plant community dominated by Cupressaceae, often swamp cypresses. Swamp cypresses typically belong to the genus Taxodium or the species Glyptostrobus pensilis and Actinostrobus pyramidalis.",,,cypress dome swamp,,,,,cypress dome,ENVO_01000328
ENVO_01000330,,Requires import of some taxonomy for differentia,"A cypress strand swamp is a strand swamp which has a plant community dominated by Cupressaceae, often swamp cypresses. Swamp cypresses typically belong to the genus Taxodium or the species Glyptostrobus pensilis and Actinostrobus pyramidalis.",,,cypress strand,,,,,cypress strand swamp,ENVO_01000327
ENVO_01000331,,Requires import of some taxonomy for differentia,"A cypress swamp is a swamp which has a plant community dominated by Cupressaceae, often swamp cypresses. Swamp cypresses typically belong to the genus Taxodium or the species Glyptostrobus pensilis and Actinostrobus pyramidalis.",,,,,,,,cypress swamp,ENVO_00000233
ENVO_01000332,,,A gravelly slope is a slope which has a surface primarily composed of gravel.,,,,,,,,gravelly slope,ENVO_00002000
ENVO_01000333,,,A hillside is a slope that is part of a hill.,,,,,brae,,,hillside,ENVO_00002000
ENVO_01000334,,,A talus slope is a slope which has a surface layer composed of scree.,,,scree slope,,,,,talus slope,ENVO_00002000
ENVO_01000335,,,An understory is a layer of plant life which grows below the canopy without penetrating it.,,,"under story, undergrowth, understorey",,,,,understory,ENVO_01000355
ENVO_01000336,,,"A shrub layer is a layer of vegetation in a woodland or forest consisting of low, woody vegetation of frutescent form.",,,,,,,,shrub layer,ENVO_01000355
ENVO_01000337,,"This definition is inclusive of non-herbaceous plants that may be transiently present in the ""herb layer"". See Gilliam FS (2007) The Ecological Significance of the Herbaceous Layer in Temperate Forest Ecosystems. BioScience. 57(10):845-858. (http://dx.doi.org/10.1641/B571007) for rationale and a review of definitional and terminological variation.",A herb and fern layer is a layer of a forest or woodland which is composed of all vascular plant life that are one metre or less in height.,,,"fern layer, herb layer, herb stratum, herbaceous layer, herbaceous stratum, herbaceous understory",,"ground cover, ground vegetation, regeneration layer",,,herb and fern layer,ENVO_01000355
ENVO_01000338,,Refers to the ground layer of a forest or woodland where leaf litter or other plant matter accumulates,,,,ground layer,,,,,litter layer,"CARO_0000000, ENVO_01000355"
ENVO_01000347,,Requested in Issue 56.,A montane conifer woodland is a conifer woodland which is located within an altitude range that falls between mid-altitude forests and the tree line.,,,,,,,,montane conifer woodland,ENVO_01000240
ENVO_01000348,,Requested in Issue 112 as part of the curation of metagenome submissions in the European Nucleotide Archive.,A field  used for the cultivation of corn or related crop plants.,,,,,,,,maize field,ENVO_00000114
ENVO_01000352,,"This class was created to accommodate ""fields"" from agricultural fields to marine mesoscale eddy fields. Thus, it has a very broad definition which makes it less than informative when annotating. Please consider using or requesting an appropriate subclass.",An unbroken expanse (as of ice),,,,,,,envoPolar,field,ENVO_01000813
ENVO_01000353,,,"A mesoscale eddy field is an expanse of marine water which includes coherent vortices, as well as a rich cascade of other structures such as filaments, squirts and spirals and is characterized by temperature and salinity anomalies with associated flow anomalies that are nearly in geostrophic balance. Although only the surface expression of mesoscale eddies is visible in satellite images of sea surface height or temperature, they are in fact three dimensional structures that reach down into the pycnocline.",,,,,,,,marine mesoscale eddy field,ENVO_01000352
ENVO_01000355,,Usually found in woodlands and forests.,A layer which is determined by a form of vegetation.,,,,,"forest layer, forest stratum, woodland layer, woodland stratum",,,vegetation layer,ENVO_01000281
ENVO_01000359,,Can be linked to a solutional environmental process and acidic groundwater.,"A cave formed in limestone, usually by dissolution of limestone by acidic groundwater.",,,,,,,,limestone cave,ENVO_01000360
